match_id,radiant_pick,dire_pick,radiant_pick_order,dire_pick_order,radiant_win
7136904919,"['Techies', 'Clockwerk', 'Underlord', 'Medusa', 'Ember Spirit']","['Bounty Hunter', 'Venomancer', 'Phantom Lancer', 'Doom', 'Pangolier']","[0, 3, 6, 7, 10]","[1, 2, 5, 8, 9]",False
7136898802,"['Clinkz', 'Venomancer', 'Doom', 'Naga Siren', 'Pudge']","['Spirit Breaker', 'Riki', 'Muerta', 'Rubick', 'Tidehunter']","[0, 3, 6, 9, 11]","[4, 5, 7, 8, 10]",True
7136895819,"['Rubick', 'Disruptor', 'Medusa', 'Underlord', 'Queen of Pain']","['Muerta', 'Io', 'Earthshaker', 'Void Spirit', 'Anti-Mage']","[0, 2, 4, 5, 8]","[1, 3, 6, 7, 9]",True
7136879509,"['Venomancer', 'Grimstroke', 'Dark Seer', 'Necrophos', 'Slark']","['Rubick', 'Phantom Lancer', 'Beastmaster', 'Lion', 'Batrider']","[2, 3, 4, 5, 9]","[0, 1, 6, 7, 8]",False
7136840207,"['Venomancer', 'Skywrath Mage', 'Snapfire', 'Alchemist', 'Silencer']","['Dazzle', 'Doom', 'Earth Spirit', 'Enchantress', 'Medusa']","[2, 3, 6, 8, 10]","[0, 1, 4, 7, 9]",False
7136830609,"['Techies', 'Lion', 'Sven', 'Doom', 'Windranger']","['Legion Commander', 'Ancient Apparition', 'Muerta', 'Mirana', 'Viper']","[2, 4, 5, 6, 10]","[1, 3, 7, 8, 11]",True
7136791211,"['Marci', 'Lion', 'Venomancer', 'Phantom Lancer', 'Puck']","['Jakiro', 'Medusa', 'Crystal Maiden', 'Slark', 'Sand King']","[2, 3, 8, 9, 12]","[1, 4, 7, 10, 11]",False
7136776419,"['Rubick', 'Skywrath Mage', 'Dark Seer', 'Ember Spirit', 'Monkey King']","['Bounty Hunter', 'Muerta', 'Axe', 'Silencer', 'Void Spirit']","[0, 3, 6, 7, 9]","[1, 4, 5, 8, 10]",False
7136739007,"['Skywrath Mage', 'Dark Willow', 'Axe', 'Phantom Lancer', 'Storm Spirit']","['Keeper of the Light', 'Medusa', 'Tidehunter', 'Rubick', 'Outworld Destroyer']","[0, 2, 4, 5, 8]","[1, 3, 6, 7, 9]",False
7136704706,"['Clockwerk', 'Ogre Magi', 'Enigma', 'Ursa', 'Meepo']","['Skywrath Mage', 'Alchemist', 'Slark', 'Pudge', 'Pangolier']","[0, 1, 5, 6, 8]","[2, 3, 4, 7, 9]",False
